sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0019,train,lhs,1912,2805,62,493,421,3781,220570.68235773096,220122.8487593817,7009.359383294356,354.0261108357854,693.8784271325123,50,0.0031458325273127216
train-0020,train,lhs,1818,184,1060,571,1348,3163,210590.78756486508,210403.03321571296,6527.5454766053235,329.690833643657,646.1821602609986,50,0.003068425583725807
train-0021,train,lhs,2120,992,426,1073,158,2649,217463.4773334939,217091.42700222332,6956.405893173183,351.3515556963443,688.6363953822175,50,0.0031666760958032063
train-0022,train,lhs,1721,1553,192,196,813,2754,190016.13867694547,189472.46865112957,6127.0671367574105,309.46362294188634,606.5375557602509,50,0.0031920317925807937
train-0023,train,lhs,2071,1417,480,994,477,3368,239535.27570064168,239984.15338880185,7629.707509413235,385.35842274114447,755.2886300466141,50,0.0031531415480972134
train-0024,train,dr-edge-versatility,2299,104,438,290,2858,3690,228169.21649236206,228137.33910440758,7392.761723181084,373.39085329697787,731.8326249431677,50,0.003207411745517677
train-0025,train,lhs,2167,870,141,671,1353,3035,223519.96892739486,223145.2721484638,7437.467800549053,375.64885118748805,736.2582194876969,50,0.0032939259208954745
train-0026,train,lhs,1836,1016,319,758,1089,3182,216777.17561436887,216436.0464980323,6786.538421579145,342.77195276297584,671.8206826237071,50,0.0030991301585127583
train-0027,train,lhs,1775,2020,328,1206,120,3674,228096.8386402619,227989.2025424797,6892.228803247439,348.11012316182195,682.2833043534212,50,0.002991200178050121
train-0028,train,lhs,2200,483,644,1080,831,3038,233638.33227818878,233861.5343712334,7457.710686687036,376.67127133455625,738.262126153907,50,0.003159850179357008
train-0029,train,lhs,2164,487,362,2704,231,3784,240182.6460519357,240261.09693739336,7976.738109833794,402.88611494375994,789.6422755110724,50,0.0032876741450351275
train-0030,train,lhs,2080,933,626,720,1496,3775,252295.19205764093,251767.40751781638,8155.052539439954,411.8923536836119,807.2941790851766,50,0.003199800093299983
train-0031,train,lhs,1954,582,472,1394,1449,3897,248742.61831952818,248740.8415623554,8276.07136659255,418.00472749295784,819.2742116168511,50,0.003293662409569208
train-0032,train,dr-edge-crit,1753,2352,179,174,248,2953,190099.99913038244,190432.26241645843,5506.888823883825,278.1398879006189,545.1441631908765,50,0.0028676705191196905
train-0033,train,lhs,1629,709,1888,155,832,3584,208150.91910397352,207941.8034661948,6055.180464235286,305.8327976835056,599.4212690165117,50,0.0028797435610509827
train-0034,train,lhs,2111,379,1196,152,992,2719,206602.2803334676,206443.63469353243,6197.873027637632,313.0398604839834,613.5468525460283,50,0.002969700293509488
train-0035,train,lhs,1760,1017,1570,328,820,3735,227642.3480202335,227450.42665993312,6991.829202024272,353.1407029749636,692.1430596129037,50,0.0030404846270140565
train-0036,train,lhs,1824,93,494,2639,663,3889,224088.87528912153,223462.67948260202,7100.7637818313115,358.6427301240539,702.9268346718626,50,0.00313682164616579
train-0037,train,lhs,2282,257,978,1429,161,2825,228415.91127336377,228504.9485534554,7021.592040471622,354.64395332449794,695.0893761590444,50,0.0030430865007787253
train-0038,train,lhs,1876,1753,407,913,213,3286,221743.868648464,221776.3358907893,6905.138157977144,348.7621440382589,683.5612417889723,50,0.0030826612972674285
train-0039,train,lhs,2275,974,1507,718,243,3442,249455.68393807986,249308.19703281746,7386.91611468909,373.0956054823457,731.2539498597181,50,0.002931398227996403
train-0040,train,dr-edge-haste,2236,106,2030,450,270,2856,209758.5468010766,209150.26357671586,6367.975912684648,321.6313535922792,630.3858696191767,50,0.0030052928914357886
train-0041,train,lhs,1775,1764,1342,100,250,3456,219829.3247924914,219378.7516242742,6174.898327928542,311.87946291541044,611.2725151028693,50,0.0027806686650194735
train-0042,train,lhs,1822,1200,718,264,653,2835,205173.2753665424,204919.09382718618,6372.194644606301,321.8444317315513,630.803495098228,50,0.0030744915192843537
train-0043,train,lhs,1622,1152,163,2259,46,3620,213240.4239842705,213290.06389437732,7203.969910655795,363.8554268063256,713.1435324359755,50,0.003344316800310714
train-0044,train,lhs,1957,816,659,2003,256,3734,243469.20062312632,242878.17920047042,8054.878453456211,406.8327982908784,797.3776327332375,50,0.0032750657195754445
train-0045,train,lhs,1853,1637,1293,96,383,3409,223327.00730332537,222913.63807298464,6638.682519260035,335.3041019652403,657.1839640117383,50,0.002942698117649261
train-0046,train,lhs,2158,120,2108,38,339,2605,193724.36585265683,193298.75536110377,5822.699574328048,294.0907395585276,576.4072579769772,50,0.002975398863431469
train-0047,train,lhs,2122,331,1031,2100,73,3535,242247.9338618624,242337.2198517961,7855.289073051655,396.7520122668153,777.6196551814608,50,0.0032100156347458658
