sample_id,split,sample_kind,primary,crit,haste,mastery,versatility,total_secondary,simc_dps,simc_median_dps,simc_stddev,simc_mean_stddev,simc_mean_error,simc_iterations,simc_relative_mean_error
train-0090,train,lhs,1758,509,216,1122,1354,3201,263379.37266110774,263578.3364039284,16093.414152429508,812.8401628304614,1593.1374450415954,50,0.006048831497110055
train-0091,train,lhs,2243,1092,820,406,1066,3384,316798.51912598,316639.28139598074,16078.373400786772,812.080490153267,1591.648513953595,50,0.005024166521815876
train-0092,train,lhs,2223,142,127,1613,791,2673,265081.5166559525,265053.2224492692,17435.221351915126,880.611660673405,1725.9671400509806,50,0.006511080673689903
train-0093,train,lhs,2168,706,1059,328,715,2808,263958.249727504,263557.4512303297,15001.103487220664,757.6701429353498,1485.006192972885,50,0.005625913168108684
train-0094,train,lhs,2110,67,944,1496,432,2939,281093.26629580837,279891.60737233463,16363.402793131436,826.4766484507236,1619.8644657448554,50,0.005762729527786666
train-0095,train,lhs,1940,1034,1270,519,425,3248,269814.28327858244,268775.57422443456,14497.183318066722,732.218330879248,1435.12155797953,50,0.005318923596412319
train-0096,train,dr-edge-crit,1728,3133,198,87,304,3722,238676.72670742375,237908.40736320752,13390.64223975635,676.3295665839095,1325.5815927716608,50,0.005553878717285216
train-0097,train,lhs,2128,1068,426,314,1724,3532,296409.42259040073,295904.16583222966,17909.739049085154,904.578423634973,1772.9411323024851,50,0.005981392618386694
train-0098,train,lhs,2241,1042,1210,294,848,3394,294436.78074836824,293617.44348359306,15957.429633639624,805.9719074466959,1579.6759118468244,50,0.005365076699425158
train-0099,train,lhs,1660,72,1639,237,673,2621,210268.42019490947,209753.92450525024,11458.504928422988,578.7418955105264,1134.3132720479018,50,0.005394596444851033
train-0100,train,lhs,1649,608,189,1396,915,3108,256430.9955071865,257683.76280884398,16625.734064032167,839.7263784915231,1645.8334594412124,50,0.006418231369363021
train-0101,train,lhs,1941,1387,448,60,1926,3821,291091.48505813535,292490.42610914883,18415.316946413077,930.113963607731,1822.9898709970598,50,0.00626260115658478
train-0102,train,lhs,2263,217,1623,331,538,2709,244401.08275393472,244344.7143780805,13070.054776965793,660.1374545194386,1293.8456362775933,50,0.0052939439616977845
train-0103,train,lhs,2064,477,2,1706,1068,3253,283553.66741358273,283102.6494864017,19115.040233327094,965.4553265456624,1892.2576695506696,50,0.006673366939002345
train-0104,train,dr-edge-haste,1751,222,2670,617,333,3842,235471.4972147097,235897.9852188891,12701.981749364522,641.5469592488157,1257.408935076258,50,0.005339962373151755
train-0105,train,lhs,1877,854,99,1099,874,2926,268779.3522087965,268839.0180248535,16619.582377946124,839.4156714238678,1645.2244847785962,50,0.006121096993717481
train-0106,train,lhs,1850,747,1610,248,834,3439,257870.79574340384,257764.04947365168,14916.28745505038,753.3862863995681,1476.6099884440946,50,0.005726162143282816
train-0107,train,lhs,2119,813,1741,1292,35,3881,306700.84112354607,305824.95222726994,17106.85949131643,864.0268822225215,1693.4615715812636,50,0.005521541986574138
train-0108,train,lhs,1635,585,1525,408,1311,3829,260291.72660648366,258737.36615908786,14700.703891042493,742.4976721122579,1455.268696589958,50,0.005590914146841378
train-0109,train,lhs,2100,532,658,1428,170,2788,278811.5781869423,277522.29994723044,19058.08209065008,962.5785059077548,1886.6192047078896,50,0.006766645836504383
train-0110,train,lhs,1949,53,144,567,1952,2716,238018.67611437239,238357.28154782497,15102.666988784626,762.7998744122732,1495.0602819224732,50,0.0062812729922254885
train-0111,train,lhs,2274,118,2041,825,729,3713,280947.7522075087,281668.8686382714,14788.977378835323,746.9561565277793,1464.0071654738865,50,0.005210958813411567
train-0112,train,dr-edge-mastery,1632,211,82,2042,330,2665,224207.92522067326,224734.93984481625,14542.10964990467,734.4874533004231,1439.568956203517,50,0.006420687202678688
train-0113,train,lhs,2001,732,384,320,1824,3260,270410.3199348401,269374.58107319375,16833.105532172918,850.2002193020185,1666.3618102186892,50,0.006162345470469571
train-0114,train,lhs,1796,255,2457,506,273,3491,230746.32489786472,230053.34361713825,13082.967421605481,660.7896415614226,1295.1238993916322,50,0.005612760679785011
train-0115,train,lhs,1900,1012,355,1169,165,2701,267029.61712503573,267213.9483239193,16221.09940717437,819.2892420795773,1605.7774081089103,50,0.006013480547204658
train-0116,train,lhs,1809,777,1912,494,133,3316,249136.9838030141,249562.93132661234,13277.494460439153,670.6147407245246,1314.380739904383,50,0.0052757351391218114
train-0117,train,lhs,2090,431,1226,639,568,2864,256292.3308378716,255791.06787203622,15025.309247309848,758.8927184426952,1487.4023969367252,50,0.005803538451869024
train-0118,train,lhs,1841,970,114,1091,968,3143,278065.13981087203,277304.00166998827,17409.967810582843,879.336164221617,1723.4672129419591,50,0.0061980700425597664
train-0119,train,lhs,1951,212,840,1833,487,3372,282493.74265593995,282801.8303688189,17876.892974680897,902.9194463530724,1769.6895965773485,50,0.006264526711066736
train-0120,train,dr-edge-versatility,1734,525,70,349,2302,3246,240295.80874535767,239941.91667118855,15638.49898680744,789.8634772250354,1548.1039687508976,50,0.006442492596245942
