left_id,right_id,true_delta_pp,quadratic-polynomial,piecewise-additive-interaction-grids
test-0000,test-0011,-3.035231111169078,-3.3169658800142097,-3.5519625924405642
test-0000,test-0036,8.076400324143039,7.841673473335792,8.923166770715609
test-0000,test-0037,-0.20514704171798204,-0.823663481271731,0.10222208377937703
test-0000,test-0064,-4.663842200634384,-5.745633817016544,-3.9362603030517183
test-0000,test-0067,4.069665938935147,4.441572966464067,4.012077814980329
test-0000,test-0092,-1.3680114840404372,-1.678860226238439,-1.8771431908302925
test-0000,test-0096,2.4262645248867414,2.0458428607351706,1.9618776082336573
test-0000,test-0103,-4.2693259583693335,-4.595726786762569,-4.668290654323063
test-0000,test-0111,-4.407291538389405,-5.0044194084992,-4.406609071739271
test-0000,test-0139,3.3048936041948225,2.912272050748941,3.1680634532143497
test-0001,test-0002,-8.94174121008611,-8.793348888025823,-8.916416627926754
test-0001,test-0012,-4.126777267464012,-3.4485913527119134,-3.8181639743344196
test-0001,test-0014,-8.747246886873807,-7.371111829474525,-9.018535057038946
test-0001,test-0025,-5.993855493243897,-5.512848563627987,-5.860235301171005
test-0001,test-0041,-6.900966333897853,-5.046381538042751,-6.606735325135396
test-0001,test-0053,-6.412516845045937,-6.75101160712788,-7.513294235354935
test-0001,test-0061,-11.28355895123159,-10.499721766288946,-11.319536229057363
test-0001,test-0070,4.320558482511369,4.643149134946228,4.444856531201309
test-0001,test-0074,-2.138568660369504,-0.6087674873565405,-2.122885015549646
test-0001,test-0101,-4.288468380581644,-4.240494856935406,-5.0929871250625505
test-0001,test-0105,-6.728166389690577,-6.131728146227963,-6.554778939879087
test-0001,test-0123,-6.112927930930925,-6.234718878523409,-6.190275052212903
test-0001,test-0125,-13.007595042474717,-12.078239577997309,-13.065854529408178
test-0001,test-0126,-5.694022286830994,-5.718053845326657,-6.263087446595413
test-0001,test-0133,-7.064386786563745,-7.153786930090318,-6.693713947496296
test-0001,test-0137,-2.5107923001510657,-2.0716765781810884,-2.4764358314736907
test-0001,test-0138,-5.467780494424403,-5.613850150465264,-5.943378722807208
test-0001,test-0149,-1.2049395465289974,-1.1208620016016573,-1.7846506024744948
test-0002,test-0012,5.287783894189101,5.860052386697288,5.597334299822341
test-0002,test-0017,6.177682110541078,6.757584929305015,6.034189360727538
test-0002,test-0018,-7.930609292934819,-8.129056754635155,-7.94428076840953
test-0002,test-0025,3.2373622733589293,3.596777520501631,3.3553591257728153
test-0002,test-0030,-3.312102400907948,-2.7224081527280304,-3.3999846794201067
test-0002,test-0038,6.131337671635709,7.438342425380341,6.3807256936216525
test-0002,test-0055,-9.977733242463936,-8.990130346067708,-10.014011276435928
test-0002,test-0057,-3.1883718077810896,-2.2567381914698212,-3.465106431517903
test-0002,test-0061,-2.57177961918691,-1.8708864512174812,-2.638367433694333
test-0002,test-0068,-2.056480137762229,-2.3895378660358966,-2.052822124691593
